,Unnamed: 0,fl,nl,pk_gold
81,81,ALWAYS ( ( rpa_offset+rpa_count==get_size(file) OR rpa_offset+rpa_count>get_size(file) ) -> ( return ( E )  WITH E . eof=True OR NOT ( rpa_offset+rpa_count==get_size(file) OR rpa_offset+rpa_count>get_size(file) ) -> return ( E )  WITH E . eof=FALSE ) ),"If the read ended at the end of the file (formally, in a correctly formed READ_PLUS operation, if rpa_offset + rpa_count is equal to the size of the file ) or the READ_PLUS operation extends beyond the size of the file (if rpa_offset + rpa_count is greater than the size of the file ), eof is returned as TRUE ; otherwise, it is FALSE .",return A=>return ( E )  WITH E . A
82,82,ALWAYS ( ( specify ( E )  WITH E . CDFC4_FORE_OR_BOTH ) -> ( return ( E )  WITH CDFS4_FORE OR return ( E )  WITH CDFS4_BOTH) ) ,"If the client specified CDFC4_FORE_OR_BOTH , the server MUST return CDFS4_FORE or CDFS4_BOTH .",specify A=>specify ( E )  WITH E . A<SEP>return A=>return ( E )  WITH E . A
83,83,ALWAYS ( ( NOT ( exist ( E )  WITH E . parent_directory ) ) -> ( return ( E )  WITH E . NFS4ERR_NOENT ) ),"If there is no parent directory , an NFS4ERR_NOENT error must be returned .",A exist=>exist ( E )  WITH E . A<SEP>A returned=>return ( E )  WITH E . A
84,84,ALWAYS ( ( gdla_maxdevices = 0 ) -> ( return ( E )  WITH E . NFS4ERR_INVAL ) ) ,"If gdla_maxdevices is zero , the server MUST return NFS4ERR_INVAL .",return A=>return ( E )  WITH E . A
85,85,ALWAYS ( ( NOT ( is_valid ( E )  WITH E . stateid ) ) -> ( fail ( E )  ) ),"If either stateid is invalid , then the operation MUST fail .",A is valid=>is_valid ( E )  WITH E . A<SEP>client fail=>fail ( E )
86,86,ALWAYS ( ( NOT ( is_regular ( E )  WITH E . cfh ) ) -> ( return ( E )  WITH E . error ) ),"If the current filehandle is not an ordinary file , an error will be returned to the client .",A is s regular file=>is_regular ( E )  WITH E . A<SEP>current filehandle=>cfh<SEP>A is returned=>return ( E )  WITH E . A
87,87,ALWAYS ( is_regular ( E )  WITH E . CURRENT_FH ),CURRENT_FH must be a regular file .,A is a regular file=>is_regular ( E )  WITH E . A
88,88,ALWAYS ( ( exist ( E )  WITH E . conf_lock ) -> ( return ( E )  WITH E . get_offset(conf_lock) WITH E . get_length(conf_lock) WITH E . get_type(conf_lock) ) OR  ( NOT ( hold ( E )  WITH E . lock ) ) -> ( return ( E )  WITH E . NFS4_OK ) ),"If a conflicting lock exists , the owner , offset , length , and type of the conflicting lock are returned ; if no lock is held , nothing other than NFS4_OK is returned .",A exist=>exist ( E )  WITH E . A<SEP>A and B and C are returned=>return ( E )  WITH E . A WITH E . B WITH E . C<SEP>A is held=>hold ( E )  WITH E . A<SEP>A is returned=>return ( E )  WITH E . A
89,89,ALWAYS ( ( bitmap = 0 OR empty ( E )  WITH E . bitmap ) -> ( off  ( E )  WITH E . device_id_notifications ) ),"If the bitmap is zero or empty , then the device ID's notifications are turned off .",A is empty=>empty ( E )  WITH E . A<SEP>A is turned off=>off ( E )  WITH E . A
90,90,ALWAYS ( ( get_length(target) = 0 ) -> ( return ( E )  WITH E . NFS4ERR_INVAL ) ),"If the target is of zero length , NFS4ERR_INVAL will be returned .",A is returned=>return ( E )  WITH E . A
91,91,ALWAYS ( ( createdir = TRUE AND NOT ( exist ( E )  WITH E . named_attribute_directory ) ) -> ( create ( E )  WITH E . named_attribute_directory ) ),"If createdir has a value of TRUE and no named attribute directory exists , one is created .",A exists=>exist ( E )  WITH E . A<SEP>A is created=>create ( E )  WITH E . A
92,92,ALWAYS ( ( return ( E )  WITH NFS4ERR_TOOSMALL ) -> ( contain ( E )  WITH E . results WITH E . gdir_mincount ) ),"If NFS4ERR_TOOSMALL is returned , the results also contain gdir_mincount .",A returned=>return ( E )  WITH E . A<SEP>A contain B=>contain ( E )  WITH E . A WITH E . B
93,93,ALWAYS ( NOT ( specify ( E )  WITH E . switch_union WITH E . SET_TO_CLIENT_TIME4 ) -> ( use ( E )  WITH E . current_time ) ),"If the switch union does not specify SET_TO_CLIENT_TIME4, the server is to use its current time for the SETATTR operation .",A specifies B=>specify ( E )  WITH E . A WITH E . B<SEP>use A=>use ( E )  WITH E . A
94,94,ALWAYS ( specify ( E )  WITH E . SECINFO_STYLE4_PARENT AND NOT ( exist ( E )  WITH E . parent_directory ) ) -> ( return ( E )  WITH E . SECINFO_NO_NAME MUST AND E . NFS4ERR_NOENT ) ),"If SECINFO_STYLE4_PARENT is specified and there is no parent directory , SECINFO_NO_NAME MUST return NFS4ERR_NOENT .",A is specified=>specify ( E )  WITH E . A<SEP>A exist=>exist ( E )  WITH E . A<SEP>A return B=>return ( E )  WITH E . A WITH E . B
95,95,ALWAYS ( ( source_offset > get_size(file) OR source_offset + count > get_size(file) ) -> ( fail ( E )  WITH E . NFS4ERR_INVAL ) ),"If the source offset or the source offset plus count is greater than the size of the source file , the operation MUST fail with NFS4ERR_INVAL .",fail with A=>fail ( E )  WITH E . A
96,96,ALWAYS ( ( support ( E )  WITH E . algorithms ) -> ( return ( E )  WITH E . NFS4ERR_HASH_ALG_UNSUPP ) ),"If the server does not support any of the offered algorithms , it returns NFS4ERR_HASH_ALG_UNSUPP .",support A=>support ( E )  WITH E . A<SEP>return A=>return ( E )  WITH E . A
97,97,ALWAYS ( ( sa_cachethis = FALSE) -> ( cache ( E )  WITH E . reply ) ),The server MAY cache the reply if sa_cachethis is FALSE .,cache A=>cache ( E )  WITH E . A
98,98,ALWAYS ( ( NOT ( type ( E )  WITH E . cfh WITH E . NF4LINK ) ) -> ( return ( E )  WITH E . NFS4ERR_INVAL ) ),The server should return the error NFS4ERR_INVAL if the object is not of type NF4LNK .,return A=>return ( E )  WITH E . A<SEP>A is type B=>type ( E )  WITH E . A WITH E . B<SEP>object=>cfh
99,99,ALWAYS ( ( specify ( E )  WITH E . SP4_SSV ) -> ( use ( E )  WITH E . SSV ) ),"If SP4_SSV is specified , then the client wants to use the SSV to protect its state .",A specified=>specify ( E )  WITH E . A<SEP>use A=>use ( E )  WITH E . A
